SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
30,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 14:00,97
31,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,11-07-2016 17:00,77
32,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 08:00,119
33,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 11:00,288
34,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 14:00,278
35,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,12-07-2016 17:00,167
36,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 08:00,51
37,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 11:00,45
38,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 14:00,45
39,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,13-07-2016 17:00,45
40,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 08:00,27
41,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 11:00,27
42,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 14:00,21
43,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,14-07-2016 17:00,21
44,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 08:00,15
45,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 11:00,15
46,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 14:00,10
47,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,15-07-2016 17:00,10
48,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 08:00,10
49,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 11:00,10
50,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 14:00,10
51,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,16-07-2016 17:00,10
52,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 08:00,5
53,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 11:00,5
54,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 14:00,5
55,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,17-07-2016 17:00,5
56,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,18-07-2016 08:00,5
57,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,18-07-2016 11:00,5
58,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,18-07-2016 14:00,5
59,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,18-07-2016 17:00,5
60,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,19-07-2016 08:00,15
61,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,19-07-2016 11:00,15
62,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,19-07-2016 14:00,21
63,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,19-07-2016 17:00,27
64,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,20-07-2016 08:00,27
65,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,20-07-2016 11:00,27
66,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,20-07-2016 14:00,21
67,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,20-07-2016 17:00,21
68,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,21-07-2016 08:00,21
69,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,21-07-2016 11:00,21
70,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,21-07-2016 14:00,21
71,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,21-07-2016 17:00,21
72,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,22-07-2016 08:00,15.162
73,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,22-07-2016 11:00,15.174
74,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,22-07-2016 14:00,15.192
75,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,22-07-2016 17:00,15.19
76,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,23-07-2016 08:00,21.135
77,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,23-07-2016 11:00,21.156
78,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,23-07-2016 14:00,15.144
79,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,23-07-2016 17:00,15.141
80,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,24-07-2016 08:00,15.153
81,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,24-07-2016 11:00,15.132
82,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,24-07-2016 14:00,15.207
83,Ambica   Unai,Gujarat SW GW,24,Gujarat,641,TAPI,VYARA,-,-,Par,West flowing rivers from Tapi to Tadri,-,-,-,Par,20.86194444,73.34555556,24-07-2016 17:00,15.15
