SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
2529,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-09-2016 08:00,0
2530,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-09-2016 11:00,0
2531,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-09-2016 14:00,0
2532,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-09-2016 17:00,0
2533,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-09-2016 08:00,0
2534,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-09-2016 11:00,0
2535,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-09-2016 14:00,0
2536,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-09-2016 17:00,0
2537,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-09-2016 08:00,0
2538,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-09-2016 11:00,0
2539,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-09-2016 14:00,0
2540,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-09-2016 17:00,0
2541,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,12-09-2016 08:00,0
2542,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,12-09-2016 11:00,0
2543,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,12-09-2016 14:00,0
2544,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,12-09-2016 17:00,0
2545,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,13-09-2016 08:00,0
2546,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,13-09-2016 11:00,0
2547,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,13-09-2016 14:00,0
2548,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,13-09-2016 17:00,0
2549,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,14-09-2016 08:00,0
2550,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,14-09-2016 11:00,0
2551,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,14-09-2016 14:00,0
2552,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,14-09-2016 17:00,0
2553,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,15-09-2016 08:00,0
2554,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,15-09-2016 11:00,0
2555,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,15-09-2016 14:00,0
2556,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,15-09-2016 17:00,0
2557,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,16-09-2016 08:00,0
2558,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,16-09-2016 11:00,0
2559,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,16-09-2016 14:00,0
2560,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,16-09-2016 17:00,0
2561,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,17-09-2016 08:00,0
2562,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,17-09-2016 11:00,0
2563,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,17-09-2016 14:00,0
2564,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,17-09-2016 17:00,0
2565,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,18-09-2016 08:00,0
2566,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,18-09-2016 11:00,0
2567,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,18-09-2016 14:00,0
2568,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,18-09-2016 17:00,0
2569,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,19-09-2016 08:00,0
2570,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,19-09-2016 11:00,0
2571,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,19-09-2016 14:00,0
2572,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,19-09-2016 17:00,0
2573,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,20-09-2016 08:00,0
2574,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,20-09-2016 11:00,0
2575,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,20-09-2016 14:00,0
2576,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,20-09-2016 17:00,0
2577,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,21-09-2016 08:00,0
2578,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,21-09-2016 11:00,0
2579,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,21-09-2016 14:00,0
2580,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,21-09-2016 17:00,0
2581,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,22-09-2016 08:00,0
2582,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,22-09-2016 11:00,0
2583,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,22-09-2016 14:00,0
2584,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,22-09-2016 17:00,0
2585,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,23-09-2016 08:00,0
2586,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,23-09-2016 11:00,0
2587,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,23-09-2016 14:00,0
2588,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,23-09-2016 17:00,0
2589,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,24-09-2016 08:00,0
2590,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,24-09-2016 11:00,0
2591,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,24-09-2016 14:00,0
2592,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,24-09-2016 17:00,0
2593,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,25-09-2016 08:00,0
2594,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,25-09-2016 11:00,0
2595,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,25-09-2016 14:00,0
2596,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,25-09-2016 17:00,0
2597,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,26-09-2016 08:00,0
2598,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,26-09-2016 11:00,0
2599,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,26-09-2016 14:00,0
2600,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,26-09-2016 17:00,0
2601,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,27-09-2016 08:00,0
2602,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,27-09-2016 11:00,0
2603,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,27-09-2016 14:00,0
2604,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,27-09-2016 17:00,0
2605,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,28-09-2016 08:00,0
2606,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,28-09-2016 11:00,0
2607,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,28-09-2016 14:00,0
2608,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,28-09-2016 17:00,0
2609,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,29-09-2016 08:00,0
2610,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,29-09-2016 11:00,0
2611,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,29-09-2016 14:00,0
2612,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,29-09-2016 17:00,0
2613,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,30-09-2016 08:00,0
2614,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,30-09-2016 11:00,0
2615,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,30-09-2016 14:00,0
2616,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,30-09-2016 17:00,0
2617,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,01-10-2016 08:00,0
2618,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,01-10-2016 11:00,0
2619,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,01-10-2016 14:00,0
2620,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,01-10-2016 17:00,0
2621,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,02-10-2016 08:00,0
2622,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,02-10-2016 11:00,0
2623,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,02-10-2016 14:00,0
2624,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,02-10-2016 17:00,0
2625,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,03-10-2016 08:00,0
2626,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,03-10-2016 11:00,0
2627,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,03-10-2016 14:00,0
2628,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,03-10-2016 17:00,0
2629,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,04-10-2016 08:00,0
2630,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,04-10-2016 11:00,0
2631,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,04-10-2016 14:00,0
2632,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,04-10-2016 17:00,0
2633,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,05-10-2016 08:00,0
2634,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,05-10-2016 11:00,0
2635,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,05-10-2016 14:00,0
2636,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,05-10-2016 17:00,0
2637,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,06-10-2016 08:00,0
2638,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,06-10-2016 11:00,0
2639,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,06-10-2016 14:00,0
2640,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,06-10-2016 17:00,0
2641,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,07-10-2016 08:00,0
2642,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,07-10-2016 11:00,0
2643,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,07-10-2016 14:00,0
2644,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,07-10-2016 17:00,0
2645,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,08-10-2016 08:00,0
2646,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,08-10-2016 11:00,0
2647,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,08-10-2016 14:00,0
2648,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,08-10-2016 17:00,0
2649,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-10-2016 08:00,0
2650,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-10-2016 11:00,0
2651,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-10-2016 14:00,0
2652,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,09-10-2016 17:00,0
2653,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-10-2016 08:00,0
2654,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-10-2016 11:00,0
2655,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-10-2016 14:00,0
2656,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,10-10-2016 17:00,0
2657,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-10-2016 08:00,0
2658,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-10-2016 11:00,0
2659,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-10-2016 14:00,0
2660,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,11-10-2016 17:00,0
2661,Kaveri   Mindhabari,Gujarat SW GW,24,Gujarat,453,Navsari,BANSDA,-,-,-,West flowing rivers from Tapi to Tadri,-,-,-,-,20.73055556,73.33027778,12-10-2016 08:00,0
